Name,Year,hkls_name,hkls_link,Price,Stock,Volume
Lagavulin,16,Lagavulin 16 Years Single Malt Scotch Whisky,https://www.hkliquorstore.com/index.php/lagavulin-16-years-single-malt-scotch-whisky.html,888,True,700ml
Ardbeg,10,Ardbeg Ten Years Old Single Malt Whisky,https://www.hkliquorstore.com/index.php/ardbeg-ten-years-old-single-malt-whisky.html,648,True,700ml
Balvenie,12,The Balvenie DoubleWood 12 Years Single Malt Whisky,https://www.hkliquorstore.com/index.php/the-balvenie-doublewood-12-years-single-malt-whisky.html,688,True,700ml
Laphroaig,10,Laphroaig 10 Years Single Malt Scotch Whisky,https://www.hkliquorstore.com/index.php/laphroaig-10-years-single-malt-scotch-whisky.html,688,True,700ml
Glenmorangie,10,Glenmorangie The Original 10 Years Single Malt Whisky,https://www.hkliquorstore.com/index.php/glenmorangie-the-original-10-years-single-malt-whisky.html,498,True,700ml
Dalwhinnie,15,Dalwhinnie 15 Years Single Malt Whisky,https://www.hkliquorstore.com/index.php/dalwhinnie-15-years-single-malt-whisky.html,698,True,700ml
Bowmore,12,Bowmore 12 Years Single Malt Whisky,https://www.hkliquorstore.com/index.php/bowmore-12-years-single-malt-whisky.html,498,True,700ml
Glenfiddich,12,Glenfiddich 12 Years Single Malt Whisky,https://www.hkliquorstore.com/index.php/glenfiddich-12-years-single-malt-whisky.html,468,True,700ml
Talisker,10,Talisker 10 Years Single Malt Whisky,https://www.hkliquorstore.com/index.php/talisker-10-years-single-malt-whisky.html,568,True,700ml
Bunnahabhain,12,Bunnahabhain 12 Years Single Malt Whisky,https://www.hkliquorstore.com/index.php/bunnahabhain-12-years-single-malt-whisky.html,698,True,700ml
Oban,14,Oban 14 Years Single Malt Whisky,https://www.hkliquorstore.com/index.php/oban-14-years-single-malt-whisky.html,788,True,700ml
Bowmore,15,Bowmore 15 Years Single Malt Whisky,https://www.hkliquorstore.com/index.php/bowmore-15-years-single-malt-whisky.html,998,True,700ml
Glendronach,12,The GlenDronach 12 Years Sauternes Wood Finish Single Malt Whisky,https://www.hkliquorstore.com/index.php/the-glendronach-12-years-sauternes-wood-finish-single-malt-whisky.html,898,False,700ml
Glendronach,21,The GlenDronach 21 Years Single Malt Whisky,https://www.hkliquorstore.com/index.php/the-glendronach-21-years-single-malt-whisky.html,1980,True,700ml
Glenmorangie,12,Ardbeg Ten Years Old Single Malt Whisky,https://www.hkliquorstore.com/index.php/ardbeg-ten-years-old-single-malt-whisky.html,648,True,700ml
Caol Ila,12,Caol Ila 12 Years Single Malt Whisky,https://www.hkliquorstore.com/index.php/caol-ila-12-years-single-malt-whisky.html,578,True,700ml
