Name,Year,hkls_name,hkls_link,price_name,price_link,wastons_name,wastons_link,masterofmalt_id,masterofmalt_url
Lagavulin,16,Lagavulin 16 Years Single Malt Scotch Whisky,https://www.hkliquorstore.com/index.php/lagavulin-16-years-single-malt-scotch-whisky.html,Lagavulin Aged 16 Years,https://www.price.com.hk/product.php?p=270584,Lagavulin 16 Years Old Single Malt Whisky,https://www.watsonswine.com/en/wine/lagavulin-16-years-old-single-malt-whisky/p/BP_166012,2444,https://www.masterofmalt.com/whiskies/lagavulin/lagavulin-16-year-old-whisky/?srh=1
Ardbeg,10,Ardbeg Ten Years Old Single Malt Whisky,https://www.hkliquorstore.com/index.php/ardbeg-ten-years-old-single-malt-whisky.html,Ardbeg 10 Years Old Single Malt Whisky 700ml,https://www.price.com.hk/product.php?p=341421,Ardbeg 10 Year Old Islay Single Malt Whisky,https://www.watsonswine.com/en/wine/ardbeg-10-years-islay-single-malt-whisky/p/BP_129305,1721,https://www.masterofmalt.com/whiskies/ardbeg/ardbeg-10-year-old-whisky/?srh=1
Balvenie,12,The Balvenie DoubleWood 12 Years Single Malt Whisky,https://www.hkliquorstore.com/index.php/the-balvenie-doublewood-12-years-single-malt-whisky.html,Balvenie 12 Year Old DoubleWood,https://www.price.com.hk/product.php?p=220964,Balvenie Doublewood 12 Years Single Malt Scotch Whisky,https://www.watsonswine.com/en/wine/balvenie-doublewood-12-years-single-malt-scotch-whisky/p/BP_100327,1767,https://www.masterofmalt.com/whiskies/balvenie/balvenie-doublewood-12-year-old-whisky/?srh=1
Laphroaig,10,Laphroaig 10 Years Single Malt Scotch Whisky,https://www.hkliquorstore.com/index.php/laphroaig-10-years-single-malt-scotch-whisky.html,Laphroaig 10 Years Old,https://www.price.com.hk/product.php?p=256951,Laphroaig 10 Year Old Single Malt Whisky,https://www.watsonswine.com/en/wine/laphroaig-10-year-old-single-malt-whisky/p/BP_128746,2455,https://www.masterofmalt.com/whiskies/laphroaig-10-year-old-whisky/?srh=1
Glenmorangie,10,Glenmorangie The Original 10 Years Single Malt Whisky,https://www.hkliquorstore.com/index.php/glenmorangie-the-original-10-years-single-malt-whisky.html,"Glenmorangie 10 YEAR OLD THE ORIGINAL', 'Glenmorangie Original 10 Years Old Single Malt Scotch Whisky', 'Glenmorangie The Original Aged 10 Years (Limited Edition Giraffe Gift Pack)","https://www.price.com.hk/product.php?p=417769', 'https://www.price.com.hk/product.php?p=213443', 'https://www.price.com.hk/product.php?p=492610",,,2130,https://www.masterofmalt.com/whiskies/glenmorangie/glenmorangie-10-year-old-the-original-whisky/?srh=1
Dalwhinnie,15,Dalwhinnie 15 Years Single Malt Whisky,https://www.hkliquorstore.com/index.php/dalwhinnie-15-years-single-malt-whisky.html,DALWHINNIE 15 Years Old Highland Single Malt Scotch Whisky,https://www.price.com.hk/product.php?p=399683,Dalwhinnie 15 Year Old Single Malt Whisky,https://www.watsonswine.com/en/wine/dalwhinnie-15-year-old-single-malt-whisky/p/BP_166009,1950,https://www.masterofmalt.com/whiskies/dalwhinnie-15-year-old-whisky/?srh=1
Bowmore,12,Bowmore 12 Years Single Malt Whisky,https://www.hkliquorstore.com/index.php/bowmore-12-years-single-malt-whisky.html,Bowmore Aged 12 Years Islay Single Malt Scotch Whisky,https://www.price.com.hk/product.php?p=218365,Bowmore 12 Years Islay Single Malt Scotch Whisky,https://www.watsonswine.com/en/wine/bowmore-12-years-islay-single-malt-scotch-whisky/p/BP_123326,1854,https://www.masterofmalt.com/whiskies/bowmore-12-year-old-whisky/?srh=1
Glenfiddich,12,Glenfiddich 12 Years Single Malt Whisky,https://www.hkliquorstore.com/index.php/glenfiddich-12-years-single-malt-whisky.html,Glenfiddich 12 Years Old Single Malt Scotch Whisky,https://www.price.com.hk/product.php?p=213433,,,2082,https://www.masterofmalt.com/whiskies/glenfiddich-12-year-old-whisky/?srh=1
Talisker,10,Talisker 10 Years Single Malt Whisky,https://www.hkliquorstore.com/index.php/talisker-10-years-single-malt-whisky.html,Talisker 10 Years Old,https://www.price.com.hk/product.php?p=264664,Talisker 10 Year Old Single Malt Whisky,https://www.watsonswine.com/en/wine/talisker-10-year-old-single-malt-whisky/p/BP_123377,2604,https://www.masterofmalt.com/whiskies/talisker/talisker-10-year-old-whisky/?srh=1
Bunnahabhain,12,Bunnahabhain 12 Years Single Malt Whisky,https://www.hkliquorstore.com/index.php/bunnahabhain-12-years-single-malt-whisky.html,Bunnahabhain Ahed 12 Years Single Malt Scotch Whisky,https://www.price.com.hk/product.php?p=232828,Bunnahabhain Islay 12 Years Single Malt Scotch Whisky,https://www.watsonswine.com/en/wine/bunnahabhain-islay-12-years-single-malt-scotch-whisky/p/BP_306081,1912,https://www.masterofmalt.com/whiskies/bunnahabhain-12-year-old-whisky/?srh=1
