RowID,Distillery,Body,Sweetness,Smoky,Medicinal,Tobacco,Honey,Spicy,Winey,Nutty,Malty,Fruity,Floral,Postcode,Latitude,Longitude,lat,long
01,Aberfeldy,2,2,2,0,0,2,1,2,2,2,2,2,PH152EB,286580,749680,56.625191,-3.850199
02,Aberlour,3,3,1,0,0,4,3,2,2,3,3,2,AB389PJ,326340,842570,57.467395,-3.229644 
03,AnCnoc,1,3,2,0,0,2,0,0,2,2,3,2,AB55LI,352960,839320,57.441751,-2.785295
04,Ardbeg,4,1,4,4,0,0,2,0,1,2,1,0,PA427EB,141560,646220,55.640607,-6.108503
05,Ardmore,2,2,2,0,0,1,1,1,2,3,1,1,AB544NH,355350,829140,57.350557,-2.743628
06,ArranIsleOf,2,3,1,1,0,1,1,1,0,1,1,2,KA278HJ,194050,649950,55.699145,-5.278895
07,Auchentoshan,0,2,0,0,0,1,1,0,2,2,3,3,G814SJ,247670,672610,55.922373,-4.439339
08,Auchroisk,2,3,1,0,0,2,1,2,2,2,2,1,AB553XS,340754,848623,57.523872,-2.990865
09,Aultmore,2,2,1,0,0,1,0,0,2,2,2,2,AB553QY,340754,848623,57.523872,-2.990865
10,Balblair,2,3,2,1,0,0,2,0,2,1,2,1,IV191LB,270820,885770,57.842735,-4.177749
11,Balmenach,4,3,2,0,0,2,1,3,3,0,1,2,PH263PF,307750,827170,57.325709,-3.533656
12,Belvenie,3,2,1,0,0,3,2,1,0,2,2,2,AB554DH,332680,840840,57.452844,-3.123497
13,BenNevis,4,2,2,0,0,2,2,0,2,2,2,2,PH336TJ,212600,775710,56.834952,-5.073418
14,Benriach,2,2,1,0,0,2,2,0,0,2,3,2,IV308SJ,323450,858380,57.608893,-3.282789
15,Benrinnes,3,2,2,0,0,3,1,1,2,3,2,2,AB389NN,325800,839920,57.443508,-3.237839
16,Benromach,2,2,2,0,0,2,2,1,2,2,2,2,IV363EB,303330,859350,57.613737,-3.619764
17,Bladnoch,1,2,1,0,0,0,1,1,0,2,2,3,DG89AB,242260,554260,54.858193,-4.458949
18,BlairAthol,2,2,2,0,0,1,2,2,2,2,2,2,PH165LY,294860,757580,56.698063,-3.718544
19,Bowmore,2,2,3,1,0,2,2,1,1,1,1,2,PA437GS,131330,659720,55.756024,-6.283806
