masterofmalt_id,noses,palates,finishs
2444.0,"nose: more like lapsang souchong tea than lapsang souchong! one of the smokiest noses from islay. it's big, very, very concentrated, and redolent of iodine, sweet spices, good, mature sherry and creamy vanilla. stunning.","palate: very thick and rich. a massive mouthful of malt and sherry with good fruity sweetness, but also a wonderful sweetness. big, powerful peat and oak.","finish: long, spicy finish, figs, dates, peat smoke, vanilla."
1721.0,nose: a ridge of vanilla leads to mountain of peat capped with citrus fruits and circled by clouds of sea spray.,palate: sweet vanilla counterbalanced with lemon and lime followed by that surging ardbeg smoke that we all know and love.,finish: long and glorious; sea salted caramel and beach bonfire smoke.
1767.0,"nose: gristy, supple nuttiness intertwined with spices. honeyed sultanas and grapes. hugely inviting.","palate: sweet with good body. the bourbon characters develop; gentle spice with a little vanilla, a hint of balancing peat lurking quietly in the substrata. dried fruit too, combining with nuts, nutmeg, cinnamon, back into the bourbon notes - so well integrated.","finish: spicy, slightly drying, still sweet."
2455.0,"nose: this opens on big, smoky muscular peat notes. there are spices, and liquorice, as well as a big dose of salt. this whisky has become slightly sweeter in recent years, and it appears beautifully on the nose, amidst the classic iodine/sticking plasters and cool wood smoke we love.","palate: seaweed-led, with a hint of vanilla ice cream and more than a whiff of notes from the first aid box (tcp, plasters etc). the oak is big, and muscles its way into the fore as you hold this whisky over your tongue. an upsurge of spices develop – cardamom/black pepper/chilli.","finish: big and drying, as the savoury, tarry notes build up with an iodine complexity."
2130.0,"nose: very fruity and thick. rich notes of lemon, nectarine and apple. spices.","palate: fresh and balanced, vanilla. boiled sweets, very creamy, tiramisu, toffee.","finish: quite long, gentle, malty and very fruity."
1950.0,"nose: aromatic, toffee, fruit salad, lush nectarine, custard. floral, apple blossom, honeysuckle. apple peels, pear, touch of smoke.",palate: malty. walnuts steeped in manuka honey with vanilla sponge. gentle smoke weaves its way through the cereal with a touch of spice.,"finish: long, malty, walnut, almond."
1854.0,"nose: coastal smoke and ash soon make way for bergamot, orange zest, lemon slices and some hay before becoming rather floral, heather smoke now competing with the ash.","palate: lovely and rounded, honeyed even, initially. vanilla, perfumed smoke and coastal elements develop. dark peat. blossom, oily sweetness.","finish: smoky and long. sea spray, dry grass, a touch of ash and citrus."
2082.0,"nose: grain. slightly floral, mineralic. spirity, orchard fruit, malty, honey. citrus develops.","palate: light, floral, spices. very smooth.","finish: sweet, touch of oak and general fruit, oily."
2604.0,"nose: a fresh and fragrant nose. through thick, pungent smoke comes sweet pear and apple peels, with pinches of maritime salt from kippers, seaweed.","palate: it's a bonfire of peat crackling with black pepper, with a touch of brine and dry barley. a welcome delivery of orchard fruit provides a delicate and beautiful balance.","finish: in a long finish, bonfire embers toast malt and crystallise a sugary underlay."
1912.0,"nose: fresh, sweet. seaweed, malt.","palate: soft, supple. sherry, nutty. a little sweetness, malty, juicy sultana. slightly coastal.","finish: sherried, mochaccino, herbal, balanced salty tang."
2571.0,"nose: smoky, maritime nose with hints of sticking plasters and toffee brittle.","palate: smoky, creamy palate with notes of marmalade, toffee apples and pear cider. a development of cloves comes late palate.","finish: a long, malty finish with toasty oak and spice."
1855.0,"nose: dark and punchy. sherry notes, juicy corinth raisins. spices. creamy, mochaccino, sweet dates.","palate: rich, woody, pine oil. syrupy. lovely, creamy toffee and malt. smoky.","finish: spicy, toffee, sherry, barley."
2017.0,"nose: rich cereals, struck match, raisin, cinnamon, caramelised sugar. opens with some sweeter px and lots of delicious raw ginger before becoming creamier with hazelnuts.","palate: fruits, peels, buttery. pain au chocolat, a little marmalade on toast before becoming firmer and nuttier with spiced raisins.",finish: smoky toffee and nut brittle.
14533.0,"nose: soft smoke and lemon juice, cedar wood, apple peel, toasty oak, soft earth, date and walnut cake and a hint of freshly made espresso.","palate: golden syrup, soft, juicy raisins, tangy oak notes, peach, cherry blossom, cocoa and honeydew melon.","finish: sherry tones lead the finish, with a hint of sulphur, chocolate, luscious fruit and pepper."
37185.0,"nose: plum and baking spice supported by milk chocolate raisin, caramel and toasty oak.","palate: a dash of tart raspberry coulis leads into a generous helping of sherried dried fruit, with orange marmalade, toasted nuts and berry jam. sweeter notes of brown sugar and cereal notes appear.","finish: silky and long, with oily orange peel, cinnamon and hazelnut praline, rounded off by bitter dark chocolate."
1915.0,"nose: fresh, herbal. rubbed peppermint leaves, stemmy, damp grass, smoky. oily, cigar leaves, smoked ham, hickory. lemon peels at the harbour.","palate: good body, oily, tar, elegant smoke. hints of boiled sweets.","finish: long, peppery, spicy warmth, smoke."
1933.0,"nose: aromatic, floral. heather, fruit salad, creamy texture. smoked almonds, stemmy hay.","palate: rich, honey, stone fruits, chestnuts, walnuts, almonds. berries.","finish: smoky, good length, delicate peppery spice."
2073.0,"nose: intense, powerful sherry. cream sherry, certainly – pedro ximenez? almost… a touch of peppermint? an almost rancio quality to this. smells older than 15.","palate: raisins, more sherry, orange peel, walnuts, dates.","finish: incredibly long, complex, more of the walnuts again."
2077.0,"nose: sherry, citrus - orange in particular, dry wood. slight suggestion of smoke?","palate: medium, sherry, raisins. fruitcake, spices, sweetness.","finish: candied fruits, raisins, spices, christmas pudding, oak takes over."
100200.0,"nose: apricot, pineapple, greengages, citrus blossom and toasted teacake.","palate: buttery and vanilla-rich, though still packing all the bright fruit notes from the nose.","finish: a soft crackle of oaky spice and malt, plus a hint of red apple juiciness."
79710.0,"nose: creamy, like melted vanilla ice-cream. fruity and honeyed.",palate: fresh juicy apples and oranges before sherry kicks in with supple sultanas and vanilla.,finish: intricate with chocolate raisins and oily caramel notes.
82457.0,"nose: coffee beans, sponge cake drenched in sherry, mint leaf, slightly buttery, sultana.","palate: oily walnut, new leather, blackberry and apple crumble, toasted brown sugar and a touch of liquorice root.","finish: fresh ginger, waxy orange, caramelised dried fruit and a hint of cigar box."
1921.0,"nose: good body, decent sweetness, richness. streaks of smoke, apple peels, bruised pears.","palate: smooth, rounded, gentle sweetness, soft peat. a little smoke whispers sweet nothings.","finish: long, dry smoke, malty touch of peat."
